;minimum;maximum
2AGPEAT180__AA1;0.0;2.67752486848849e-12
2AGPG160tipp__AA1;0.0;3.467448550509289e-12
2AGPG161tipp__AA1;0.0;2.5845992013273644e-12
2AGPG180tipp__AA1;0.0;4.774847184307873e-12
2AGPG181tipp__AA1;0.0;5.27983906595253e-12
2AGPGAT180__AA1;0.0;7.048583938740194e-12
2DHGLCNtex__AA1;-1000.0;0.0
2MAHMP__AA1;0.0;2.6830093702301383e-11
2OH3K5MPPISO__AA1;-1000.0;3.3857916470481086e-12
34HPPOR__AA1;0.0;0.0
3HAACOAT140__AA1;-2.5670005651926733;-2.5670005651925067
3HACPH__AA1;-1000.0;0.0
3HAD40__AA1;0.0;1000.0
3HBCOAHL__AA1;0.0;0.0
3HOXTPP__AA1;0.0;1000.0
3MBtex__AA1;0.0;9.817924251365184e-12
3OADPCOAT__AA1;0.0;1.6484147380424474e-11
3OAR40__AA1;0.0;1000.0
3OXCOAT__AA1;0.0;6.821210263296962e-12
3OXOADPt_ex__AA1;0.0;3.908651180495326e-12
3OXOADPt_pp__AA1;0.0;3.908651180495326e-12
4ABUTD__AA1;-1000.0;0.0
4ABUTabcpp__AA1;0.0;1.8189894035458565e-11
4CMLCL_kt__AA1;0.0;2.734279469507328e-11
4HBADH__AA1;0.007355586015084868;0.007355586015084893
4HBZt3pp__AA1;0.004057116949870621;0.004057116950024398
4HBZtex__AA1;-0.004057116950024398;-0.004057116949870621
4HGLSD__AA1;-1000.0;0.0
4HTHRK__AA1;0.0;1.0915351955631536e-11
4HTHRS__AA1;0.0;1.5599156515111456e-11
4PEPTabcpp__AA1;0.9165785837982667;0.9165785838010883
4PEPTtex__AA1;0.9165785837959826;0.9165785838000602
5DGLCNR__AA1;0.0;1000.0
5DKGR__AA1;0.0;1000.0
5DOAN__AA1;0.0;4.547473508864641e-12
6APAt1__AA1;0.0;1.2391865311656147e-11
6ATHAtexi__AA1;0.0;4.1247005810873816e-12
6PHBG__AA1;-1000.0;1000.0
6PHBG2__AA1;-1000.0;1000.0
A5PISO__AA1;1.2835002825963304;1.283500282596337
A6PAG__AA1;0.0;1000.0
AAAN__AA1;-1000.0;0.0
AABTN__AA1;0.0;1.8698376180736886e-11
AACPS1__AA1;0.0;-3.0198066269804258e-12
AACPS3__AA1;9.171591143544399;9.171591143543331
AACPS5__AA1;0.0;6.043776590303196e-12
AADa__AA1;0.0;1.9118040484045196e-11
AADb__AA1;0.0;2.2511326136509524e-11
AALDH__AA1;0.0;0.0
AAMYLpp__AA1;0.0;169.62250634135395
AASAD3__AA1;0.0;491.0832650688393
AATA__AA1;-491.0832650688526;0.0
ABUTD__AA1;0.0;1000.0
ABUTt2pp__AA1;0.0;1000.0
ABUTt2r__AA1;0.0;1000.0
ABUTtex__AA1;0.0;1000.0
ACACT10__AA1;0.0;988.2614082912712
ACACT11__AA1;0.0;988.2614082912712
ACACT12__AA1;0.0;990.828408856457
ACACT13__AA1;0.0;988.2614082912753
ACACT1r__AA1;-964.9259271048074;11.7385917087481
ACACT2r__AA1;11.73859170873061;1000.0
ACACT3r__AA1;11.738591708713557;1000.0
ACACT4r__AA1;11.73859170872975;1000.0
ACACT5r__AA1;11.738591708691501;1000.0
ACACT6r__AA1;11.738591708680566;1000.0
ACACT7r__AA1;9.171591143540468;1000.0
ACACT8__AA1;0.0;988.2614082912786
ACACT8r__AA1;-988.2614082912672;1.5170087408478139e-12
ACACT9__AA1;0.0;988.2614082912751
ACACt2pp__AA1;0.0;-6.293188192785237e-12
ACACtex__AA1;0.0;-6.293188192785237e-12
ACALDt__AA1;-1000.0;1000.0
ACCOAC__AA1;0.0;1.969158169856655e-11
ACCOAL__AA1;0.0;1000.0
ACGAMK__AA1;0.0;1.2856382625159313e-12
ACGApts__AA1;0.0;8.469669410260394e-12
ACGAptspp__AA1;0.0;-2.050581926482664e-11
ACGAtex__AA1;0.0;1.8828494319222955e-11
ACGK_1__AA1;0.0;3.696445927126035e-12
ACGS__AA1;0.0;1.286554196511247e-11
ACHBS__AA1;0.0;9.583009190039718
ACLS__AA1;0.0;972.58352094803
ACLS_a__AA1;0.0;982.1665301373397
ACLS_d__AA1;-9.58300919003409;972.5835209474823
ACM6PH__AA1;0.0;-4.297673328323981e-13
ACMANApts__AA1;0.0;3.630651335129187e-11
ACOAD1__AA1;0.0;1000.0
ACOAD10f__AA1;0.0;7.787548383930698e-12
ACOAD11f__AA1;0.0;5.7625015870144125e-12
ACOAD12f__AA1;0.0;7.275957614183426e-12
ACOAD13f__AA1;0.0;6.480149750132114e-12
ACOAD14f__AA1;0.0;0.0
ACOAD15f__AA1;0.0;3.950617610826157e-12
ACOAD16f__AA1;0.0;-3.2526481508199367e-12
ACOAD17f__AA1;0.0;2.7284841053187847e-12
ACOAD18f__AA1;0.0;9.297451697420911e-12
ACOAD19f__AA1;0.0;3.183231456205249e-12
ACOAD1f__AA1;0.0;1000.0
ACOAD1fr__AA1;0.0;1000.0
ACOAD2__AA1;-988.2614082912664;1000.0
ACOAD20__AA1;0.0;6.59383658785373e-12
ACOAD20f__AA1;0.0;3.097966327914037e-12
ACOAD21f__AA1;0.0;8.355982572538778e-12
ACOAD22f__AA1;0.0;3.744560217455728e-12
ACOAD23f__AA1;0.0;990.8284088564612
ACOAD24f__AA1;-1.0686562745831907e-11;988.2614082912669
ACOAD25f__AA1;0.0;988.2614082912701
ACOAD26f__AA1;0.0;988.261408291265
