;minimum;maximum
ACSPHAC141d5__AA1;0.0;5.5706550483591855e-12
ACSPHAC142__AA1;0.0;4.547473508864641e-13
ACSPHAC160__AA1;0.0;6.09823302966106e-12
ACSPHAC40__AA1;0.0;2.773958840407431e-11
ACSPHAC50__AA1;0.0;4.320099833421409e-12
ACSPHAC60__AA1;0.0;1.0459189070388675e-11
ACSPHAC70__AA1;0.0;1.0800249583553523e-12
ACSPHAC80__AA1;0.0;6.0182969718880486e-12
ACSPHAC90__AA1;0.0;6.892264536872972e-12
ACSPHACP100__AA1;0.0;1.000444171950221e-11
ACSPHACP40__AA1;0.0;1.2317258324401337e-11
ACSPHACP50__AA1;0.0;4.611727666414822e-12
ACSPHACP60__AA1;0.0;3.8689051962137455e-12
ACSPHACP70__AA1;0.0;8.384404281969182e-12
ACSPHACP80__AA1;0.0;1.0800249583553523e-11
ACSPHACP90__AA1;0.0;2.1458390619955026e-12
ACSPHACT40__AA1;0.0;4.547473508864641e-12
ACSPHACT60__AA1;0.0;7.645439836778678e-12
ACTD__AA1;0.0;1000.0
ACTD2__AA1;0.0;1000.0
ACTD_1__AA1;0.0;1000.0
ACTDa__AA1;0.0;1000.0
ACTNabc__AA1;0.0;-1.4551915228366852e-11
ACt5pp__AA1;0.0;1.0094636238022758e-10
ACtex__AA1;0.0;1.0094636238022758e-10
ADCL__AA1;0.022066758045253796;0.02206675804525463
ADCS__AA1;0.022066758045254563;0.02206675804525464
ADEt2rpp__AA1;0.0;6.764366844436154e-12
ADEtex__AA1;0.0;6.764366844436154e-12
ADK1__AA1;-1000.0;1000.0
ADK2__AA1;-1.4438228390645236e-11;1000.0
ADK3__AA1;-1000.0;1000.0
ADK4__AA1;-1000.0;1000.0
ADKd__AA1;-1000.0;1000.0
ADMDC__AA1;0.0;-6.261657858885883e-13
ADNCYC__AA1;0.0;7.958078640513122e-12
ADNK1__AA1;0.0;6.748568753049312
ADNK3__AA1;0.0;6.748568753047152
ADNK4__AA1;0.0;6.748568753046718
ADNUC__AA1;0.0;2.5011104298755527e-12
ADNt2__AA1;0.0;6.7386733458309385
ADNt2pp__AA1;0.0;6.7386733458426695
ADNtex__AA1;0.0;6.738673345849441
ADPRDP__AA1;0.0;4.845901457883883e-12
ADPT__AA1;0.0;4.019895527562767e-12
ADSL1r__AA1;0.0;5.906650168974181e-12
ADSL2r__AA1;0.0;7.62989497971045e-13
ADSS__AA1;0.0;4.320099833421409e-12
AGDC__AA1;0.0;4.092726157978177e-11
AGM3PH__AA1;0.0;2.5659474545136618e-12
AGM3Pt2pp__AA1;0.0;1.3393730569077889e-12
AGM4PApp__AA1;0.0;2.986499936241671e-13
AGM4PH__AA1;0.0;8.060219158778636e-13
AGM4Pt2pp__AA1;0.0;0.0
AGMDA__AA1;0.0;8.753886504564434e-12
AGMH__AA1;0.0;7.16093850883226e-13
AGMt2pp__AA1;0.0;1.2921885783612197e-12
AGMtex__AA1;-972.5835209481638;0.0
AGPAT160__AA1;4.585795571772256;4.585795571777481
AGPAT181__AA1;0.0;2.9665159217984183e-12
AGPOP__AA1;0.0;1000.0
AGPR__AA1;-8.01492205937393e-12;0.0
AHCi__AA1;0.009895407195181352;0.0098954072047097
AHGDx__AA1;0.0;0.0
AHMMPS_1__AA1;0.0;9.549694368615746e-12
AHSERL2__AA1;0.0;7.886136188517412e-12
AI2abcpp__AA1;0.0;9.663381206337363e-11
AI2tpp__AA1;0.0;9.483613894190057e-11
AICART__AA1;-1.3943828730544894e-12;3.922195901395753e-12
AIRC1__AA1;0.0;2.5006846933603713e-11
AIRC2__AA1;0.0;1.5567991340503795e-11
AIRC3__AA1;-4.022927824198774e-12;0.0
AIRCr__AA1;-9.367795428261161e-11;2.4016344468691386e-12
AKGDH__AA1;0.0;972.5835209477115
AKGDa__AA1;0.0;982.1665301376622
AKGDb__AA1;0.0;982.1665301375499
AKGt2r__AA1;0.0;999.4385181028874
AKP1__AA1;0.0;0.02206675804525464
ALAALAD_1__AA1;0.0;9.974243653232406e-13
ALAALAr__AA1;0.9165785837990018;0.9165785838005087
ALAGLNtr__AA1;0.0;8.71702912178282
ALAGLYtr__AA1;0.0;-3.856115426970064e-11
ALAHIStr__AA1;3.12490362285116;3.124903622870079
ALALEUt__AA1;0.0;1.9179324795004504e-11
ALAR__AA1;-1000.0;1000.0
ALAS__AA1;0.0588446880004625;0.058844688127384207
ALATA_D__AA1;-1000.0;1000.0
ALATA_D2__AA1;0.0;999.9999999999475
ALATA_L__AA1;-1000.0;1000.0
ALATA_L2__AA1;0.0;1000.0
ALATHRtr__AA1;17.94090099994543;17.95079640720725
ALAt2pp__AA1;0.0;1000.0
ALAt2r__AA1;0.0;1000.0
ALAtex__AA1;0.0;1000.0
ALCD1__AA1;-2.2964741219766438e-11;1000.0
ALCD19__AA1;-1000.0;1000.0
ALCD19y__AA1;-1000.0;1000.0
ALCD22_L__AA1;-1.2278178473934531e-11;1000.0
ALCD2ir__AA1;-1000.0;1000.0
ALCD2y__AA1;-1000.0;1000.0
ALDD1__AA1;0.0;972.583520947558
