metabolite_id (compartment specific),count
malcoa_c,6
fa3_c,2
bmn_c,1
msh_c,1
bmnmsh_c,2
2mbcoa_c,2
fa4_c,2
fa12_c,2
fa12coa_c,3
octdp_c,2
octa_c,2
ocACP_c,2
pg180_c,1
rml_c,1
3odcoa_c,1
lipo2_24_BS_c,1
fa6_c,2
ps180_c,2
pe180_c,1
sucbz_c,2
gtca3_45_BS_c,1
gtca1_45_BS_c,1
dad_2_c,2
actp_c,1
ah6p__D_c,2
2shchc_c,4
1ag3p_BS_c,2
fa11coa_c,3
fa1coa_c,3
fa3coa_c,3
fa4coa_c,3
fa6coa_c,3
pmtcoa_c,2
strcoa_c,3
12dag3p_BS_c,2
pendp_c,2
g1p_c,1
rbflvrd_c,4
f1p_c,1
lipo4_24_BS_c,1
peptido_BS_c,1
1odecg3p_c,2
ocdcaACP_c,3
fa11_c,2
12dgr_BS_c,1
gsn_c,1
ga_c,1
omaketo_c,1
ocdca_c,2
lipo3_24_BS_c,1
malt_c,1
malt1p_c,2
oca_c,1
2ameph_c,2
Pald_c,4
fe3dcit_e,2
3opbcoa_c,1
phaccoa_c,2
glyg4n_c,1
glc__aD_c,1
acysbmn_c,1
igam_c,1
fa1_c,2
r5p_p,1
rib__D_p,1
ggdp_c,1
xylan4_c,1
xyl4_c,1
3oxptcoa_c,1
6pgg_c,2
glc__D_c,1
cellb_e,1
uacgam_p,1
acgam1p_p,1
ump_p,3
sbt__D_p,1
2dmmql8_c,1
tet_p,1
tsul_p,2
udpglcur_p,1
glcur1p_p,1
galam6p_c,1
galctn__L_c,1
1agpg160_p,2
14dhncoa_c,1
dca_c,2
dcaACP_c,2
4h2kpi_c,1
nflgln_c,2
frmd_c,1
2hdecg3p_c,1
2odec11eg3p_c,1
2odec11eg3p_p,1
hkntd_c,2
glcn_c,2
dha_c,1
2dhphaccoa_c,2
h2_c,2
1agpg161_p,1
glyald_c,1
metglcur_c,1
meoh_c,1
dhptd_c,1
dhptdp_c,1
anhgm4p_c,1
4izp_c,1
glc__aD_e,1
lgt_s_c,2
tag1p__D_c,2
mthgxl_c,1
dhptdd_c,1
1hdec9eg3p_p,1
glyc3p_p,2
etoh_p,1
acald_p,1
2hdecg3p_p,1
udpacgal_p,1
acgal1p_p,1
acmana_p,1
pald_c,3
phnac_c,2
4abzglu_c,1
4abz_c,2
cyan_p,1
so3_p,1
tcynt_p,1
2hdec9eg3p_c,1
acmum_p,1
hkndd_c,1
duri_c,2
2hdec9eg3p_p,1
man6pglyc_c,2
glyc__R_c,1
tag__D_p,1
dhcinnm_c,1
manglyc_p,1
ssaltpp_c,2
lcts_e,1
lac6p_c,1
mmet_c,1
14dh2napcoa_c,2
ppac_c,1
h2o2_p,1
phdcacoa_c,2
phdcaACP_c,1
p3pyr_c,1
pppgpp_c,1
arach_c,1
mmcoa__S_c,1
mbhn_c,1
prepphth_c,2
pphthdl_c,1
ind_c,1
tgt_e,1
gcvHalip_c,2
gcvHdhlip_c,1
mercppyr_c,1
phdca_c,1
pphthiocerol_c,1
tamocta_c,1
ppdima_c,1
catechol_c,3
3ohcoa_c,1
gcvhlipl_c,1
prepphthACP_c,1
acadl_c,2
abg4_c,1
glu__D_c,1
galctr__D_c,1
5d4dglcr_c,1
buts_c,1
fmnRD_c,1
btal_c,1
glutar_c,1
fuc_e,1
bz_c,1
bz12diol_c,2
gdpmanur_c,2
ccmuac_c,2
mucl_c,2
histda_c,2
histd_c,1
peamn_p,1
nh4_p,1
pacald_p,1
mqn7_c,1
mql7_c,1
24dab_c,1
3hasp__L_c,2
n5horn_c,1
orn_c,1
fbac_kt_c,1
fe3hox_un_e,1
fe3hox_e,1
prealginate__M_p,1
cit_e,1
