bigg_id,name,formulas,charges
M00955,"""4'-Carboxy-5'-Cholesta-8,24-Dien-3'-Ol""",['C28H44O3'],[0]
M00954,"""4'-Carboxy-4'-Methyl-5'-Cholesta-8-En-3'-Ol""",['C29H48O3'],[0]
M00957,"""4'-Formyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol""",['C29H46O2'],[0]
M00956,"""4'-Carboxy-5'-Cholesta-8-En-3'-Ol""",['C28H46O3'],[0]
M00958,"""4'-Formyl-4'-Methyl-5'-Cholesta-8-En-3'-Ol""",['C29H48O2'],[0]
M00959,"""4'-Formyl-5'-Cholesta-8,24-Dien-3'-Ol""",['C28H44O2'],[0]
M00960,"""4Alpha-Formyl-5Alpha-Cholesta-8-En-3Beta-Ol""",['C28H46O2'],[0]
M00961,"""4'-Hydroxymethyl-4'-Methyl-5'-Cholesta-8,24-Dien-3'-Ol""",['C29H48O2'],[0]
M00963,"""4'-Hydroxymethyl-5'-Cholesta-8,24-Dien-3'-Ol""",['C28H46O2'],[0]
M00962,"""4'-Hydroxymethyl-4'-Methyl-5'-Cholesta-8-En-3'-Ol""",['C29H50O2'],[0]
M00964,"""4Alpha-Hydroxymethyl-5Alpha-Cholesta-8-En-3Beta-Ol""",['C28H48O2'],[0]
M00966,"""4'-Methyl-5'-Cholesta-8-En-3-One""",['C28H46O'],[0]
M00967,"""4'-Methyl-Cholesta-8-Enol""",['C28H48O'],[0]
M00976,"""4-Cholesten-7',12',24-Triol-3-One""",['C27H44O4'],[0]
M00977,"""7Alpha,12Alpha,26-Trihydroxycholest-4-En-3-One""",['C27H44O4'],[0]
M00979,"""7Alpha,26-Dihydroxycholest-4-En-3-One""",['C27H44O3'],[0]
M00978,"""7Alpha,24-Dihydroxycholest-4-En-3-One""",['C27H44O3'],[0]
M01068,"""5Alpha-Cholest-8-En-3-One""",['C27H44O'],[0]
M01067,"""5Alpha-Cholesta-8,24-Dien-3-One""",['C27H42O'],[0]
M01075,"""Androst-5-Ene-3,17-Dione""",['C19H26O2'],[0]
M01076,"""5Beta-Cholestan-3Alpha,7Alpha,12Alpha,24(S),27-Pentol""",['C27H48O5'],[0]
M01077,"""5Beta-Cholestan-3Alpha,7Alpha,12Alpha,24(S)-Tetrol""",['C27H48O4'],[0]
M01079,"""5Beta-Cholestane-3Alpha,7Alpha,24,26-Tetrol""",['C27H48O4'],[0]
M01080,"""5Beta-Cholestane-3Alpha,7Alpha,24-Triol""",['C27H48O3'],[0]
M01081,"""7Alpha,24-Dihydroxy-5Beta-Cholestan-3-One""",['C27H46O4'],[0]
M01083,"""7Alpha,24Alpha-Dihydroxy-5Beta-Cholestan-3-One""",['C27H46O3'],[0]
M01082,"""5Beta-Cholestan-7Alpha,12Alpha,27-Triol-3-One""",['C27H46O4'],[0]
M01084,"""7Alpha,26-Dihydroxy-5Beta-Cholestan-3-One""",['C27H46O3'],[0]
M01111,"""5-L-Gamma-Glutamyl Amino Acid""",['C5H7NO3'],[0]
M01141,"""5Z-Tetradecenoyl Coenzyme A""",['C35H56N7O17P3S'],[-4]
M01165,"""6-Methoxy-3-Methyl-2-All-Trans-Decaprenyl-1,4-Benzoquinol""",['C58H92O3'],[0]
M01191,"""7Z-Hexadecenoyl Coenzyme A""",['C37H60N7O17P3S'],[-4]
M01197,"""7Z-Hexadecenoic Acid""",['C16H29O2'],[-1]
M01207,"""8Z,11Z-Eicosadienoic Acid""",['C20H35O2'],[-1]
M01236,"""9Z-Eicosenoyl Coenzyme A""",['C41H68N7O17P3S'],[-4]
M01235,"""9Z-Eicosenoic Acid""",['C20H37O2'],[-1]
M01237,"""9Z-Heptadecenoyl Coenzyme A""",['C38H62N7O17P3S'],[-4]
M01238,"""9Z-Heptadecenoic Acid""",['C17H31O2'],[-1]
M01389,"""Beta-D-Glucose-6-Phosphate""",['C6H11O9P'],[-2]
M01454,"""Cholest-5-En-3B-Yl (9Z-Heptadecenoate)""",['C44H76O2'],[0]
M01455,"""Cholesterol-Ester-11,14,17-Eico""",['C47H78O2'],[0]
M01456,"""Cholest-5-En-3Beta-Yl (11Z,14Z-Eicosadienoate)""",['C47H80O2'],[0]
M01457,"""Cholesterol-Ester-11-Docose""",['C49H86O2'],[0]
M01458,"""Cholest-5-En-3Beta-Yl (11Z-Eicosenoate)""",['C47H82O2'],[0]
M01460,"""Cholesterol-Ester-13,16,19-Doco""",['C49H82O2'],[0]
M01461,"""Cholest-5-En-3Beta-Yl (13Z,16Z-Docosadienoate)""",['C49H84O2'],[0]
M01462,"""Cholest-5-En-3B-Yl (13Z-Docosenoate)""",['C49H86O2'],[0]
M01463,"""Cholesterol-Ester-13-Eicose""",['C47H82O2'],[0]
M01464,"""Cholesterol-Ester-13-Octade""",['C45H78O2'],[0]
M01465,"""Cholest-5-En-3Beta-Yl (15Z-Tetracosenoate)""",['C51H90O2'],[0]
M01467,"""Cholesterol-Ester-4,7,10,13,16-Docosa""",['C49H78O2'],[0]
M01466,"""Cholest-5-En-3Beta-Yl (4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoate)""",['C49H76O2'],[0]
M01469,"""Cholesterol-Ester-5,8,11-Eico""",['C47H78O2'],[0]
M01468,"""Cholest-5-En-3Beta-Yl (5Z,8Z,11Z,14Z,17Z-Eicosapentaenoate)""",['C47H74O2'],[0]
M01470,"""Cholesterol-Ester-5-Tetra""",['C41H70O2'],[0]
M01471,"""Cholesterol-Ester-6,9,12,15,18,21-Tetra""",['C51H80O2'],[0]
M01472,"""Cholesterol-Ester-6,9,12,15,18-Tetraco""",['C51H82O2'],[0]
M01473,"""Cholesterol-Ester-6,9,12,15-Octa""",['C45H72O2'],[0]
M01474,"""Cholesterol-Ester-6,9-Octa""",['C45H76O2'],[0]
M01475,"""Cholest-5-En-3Beta-Yl (7Z,10Z,13Z,16Z,19Z-Docosapentaenoate)""",['C49H78O2'],[0]
M01476,"""Cholest-5-En-3Beta-Yl (7Z,10Z,13Z,16Z-Docosatetraenoate)""",['C49H80O2'],[0]
M01477,"""Cholesterol-Ester-7-Hexa""",['C43H74O2'],[0]
M01479,"""Cholesterol-Ester-7-Tetrade""",['C41H70O2'],[0]
M01480,"""Cholesterol-Ester-8,11,14,17-Eico""",['C47H76O2'],[0]
M01481,"""Cholesterol-Ester-8,11-Eico""",['C47H80O2'],[0]
M01482,"""Cholesterol-Ester-9,12,15,18,21-Tetra""",['C51H82O2'],[0]
M01483,"""Cholesterol-Ester-9,12,15,18-Tetraco""",['C51H84O2'],[0]
M01484,"""Cholesterol-Ester-9-Eicose""",['C47H82O2'],[0]
M01485,"""Cholesterol-Ester-9-Heptade""",['C44H76O2'],[0]
M01486,"""Cholesterol-Ester-9-Octa""",['C45H78O2'],[0]
M01489,"""Cholesterol-Ester-Cis-Vac""",['C45H78O2'],[0]
