reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,dead_end_test
ANDO1,anth_c + 2.0 h_c + nadh_c + o2_c --> catechol_c + co2_c + nad_c + nh3_c,ok,ok,ok,ANDO2,ok,ok
ANDO2,anth_c + 2.0 h_c + nadph_c + o2_c --> catechol_c + co2_c + nadp_c + nh3_c,ok,ok,ok,ANDO1,ok,ok
ANHMK,anhm_c + atp_c + h2o_c --> acmum6p_c + adp_c + h_c,ok,ok,ok,ok,ok,ok
ANPRT,anth_c + prpp_c --> ppi_c + pran_c,ok,ok,ok,ok,ok,ok
ANS,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,ok,ok,ok,ok,ok,ok
ANS2,chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c,ok,ok,ok,ok,ok,ok
AOBUTDs,2aobut_c + h_c --> aact_c + co2_c,ok,ok,ok,ok,ok,ok
AOXHEXCYCL,6a2ohxnt_c --> 1pipdn2c_c + h2o_c,ok,ok,ok,ok,ok,ok
AP4AH,ap4a_c + h2o_c --> 2.0 adp_c + 2.0 h_c,ok,ok,ok,ok,ok,ok
AP4AS,2.0 atp_c + h_c --> ap4a_c + ppi_c,ok,ok,ok,ok,ok,ok
APATr,ala_B_c + pyr_c <=> ala__L_c + msa_c,ok,ok,ok,ok,ok,ok
APCt5,apc_c + h_p --> apc_e + h_c,ok,ok,ok,ok,ok,ok
APCt6,apc_p + h_p --> apc_e + h_c,ok,ok,ok,ok,ok,ok
APCtpp,apc_p --> apc_c,ok,ok,ok,ok,ok,ok
APENTAMAH2,5apentam_c + h2o_c + h_c --> 5aptn_c + nh4_c,ok,ok,ok,ok,ok,ok
APG3PAT160,glyc3p_c + hdcap_c --> 1hdecg3p_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
APG3PAT181,glyc3p_c + ocdceap_c --> 1odec11eg3p_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
APPAT,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,ok,ok,ok,ok,ok,ok
APPLDHr,aact_c + h_c + nadh_c <=> appl_c + nad_c,ok,ok,ok,ok,ok,ok
APRAUR,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,ok,ok,ok,ok,ok,ok
APRTO2,aprut_c + h2o_c + o2_c --> h2o2_c + n4abutn_c + nh4_c,ok,ok,ok,ok,ok,ok
APSR,aps_c + trdrd_c --> amp_c + 2.0 h_c + so3_c + trdox_c,ok,ok,ok,APSR2,ok,ok
APSR2,aps_c + grxrd_c --> amp_c + grxox_c + 2.0 h_c + so3_c,ok,ok,ok,APSR,ok,ok
ARBTpts,arbt_e + pep_c --> arbt6p_c + pyr_c,ok,ok,ok,ok,ok,ok
ARBabcpp,arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
ARBt2r,arab__L_e + h_e --> arab__L_c + h_c,ok,ok,ok,ok,ok,ok
ARBt2rpp,arab__L_p + h_p --> arab__L_c + h_c,ok,ok,ARBt3ipp,ok,ok,ok
ARBt3ipp,arab__L_c + h_p --> arab__L_p + h_c,ok,ok,ARBt2rpp,ok,ok,ok
ARGDC,arg__L_c + h_c --> agm_c + co2_c,ok,ok,ok,ok,ok,ok
ARGDCpp,arg__L_p + h_p --> agm_p + co2_p,ok,ok,ok,ok,ok,ok
ARGDI,arg__L_c + h2o_c --> citr__L_c + nh4_c,ok,ok,ok,ok,ok,ok
ARGSS,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,ok,ok,ok,ok,ok,ok
ARGabc,arg__L_e + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
ARGabcpp,arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
ARGt2pp,arg__L_p + h_p --> arg__L_c + h_c,ok,ok,ARGt3pp,ok,ok,ok
ARGt2r,arg__L_e + h_e --> arg__L_c + h_c,ok,ok,ok,ok,ok,ok
ARGt3pp,arg__L_c + h_p --> arg__L_p + h_c,ok,ok,ARGt2pp,ok,ok,ok
ARGt5r,arg__L_e <=> arg__L_c,ok,ok,ok,ok,ok,ok
ARGtex,arg__L_e <=> arg__L_p,ok,ok,ok,ok,ok,ok
AROH,Largn_c --> co2_c + h2o_c + phe__L_c,ok,ok,ok,ok,ok,ok
ARUH,arg__L_c + pyr_c <=> 5g2oxpt_c + ala__L_c,ok,ok,ok,ok,ok,ok
ASNN,asn__L_c + h2o_c --> asp__L_c + nh4_c,ok,ok,ok,ok,ok,ok
ASNNpp,asn__L_p + h2o_p --> asp__L_p + nh4_p,ok,ok,ok,ok,ok,ok
ASNS1,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,ok,ok,ok,ok,ok,ok
ASNabc,asn__L_e + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
ASO3t2pp,aso3_c + h_p --> aso3_p + h_c,ok,ok,ok,ok,ok,ok
ASO3t8pp,aso3_c + atp_c + h2o_c --> adp_c + aso3_p + h_c + pi_c,ok,ok,ok,ok,ok,ok
ASO4rt2rpp,aso4_p + h_p --> aso4_c + h_c,ok,ok,ok,ok,ok,ok
ASP3H,akg_c + asp__L_c + o2_c --> 3hasp__L_c + co2_c + succ_c,ok,ok,ok,ok,ok,ok
ASPCT,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
ASPO1,asp__L_c + h2o_c + o2_c --> h2o2_c + nh4_c + oaa_c,ok,ok,ok,ok,ok,ok
ASPO3,asp__L_c + q8_c --> h_c + iasp_c + q8h2_c,ok,ok,ok,ASPO6,ok,ok
ASPO5,asp__L_c + fum_c --> h_c + iasp_c + succ_c,ok,ok,ok,ok,ok,ok
ASPO6,asp__L_c + o2_c --> h2o2_c + h_c + iasp_c,ok,ok,ok,ASPO3,ok,ok
ASPT,asp__L_c --> fum_c + nh4_c,ok,ok,ok,ok,ok,ok
ASPTA,akg_c + asp__L_c <=> glu__L_c + oaa_c,ok,ok,ok,ok,ok,ok
ASPabc,asp__L_e + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
ASPabcpp,asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
ASPt2_2pp,asp__L_p + 2.0 h_p --> asp__L_c + 2.0 h_c,ok,ok,ASPt2pp,ok,ok,ok
ASPt2pp,asp__L_p + h_p --> asp__L_c + h_c,ok,ok,ASPt2_2pp,ok,ok,ok
ASR,aso4_c + 2.0 gthrd_c + h_c --> aso3_c + gthox_c + h2o_c,ok,ok,ok,ok,ok,ok
AST,arg__L_c + succoa_c --> coa_c + h_c + sucarg_c,ok,ok,ok,ok,ok,ok
ATAH_1,alltt_c + h2o_c <=> urdglyc_c + urea_c,ok,ok,ok,ok,ok,ok
ATPHs,atp_c + h2o_c + h_c --> itp_c + nh4_c,ok,ok,ok,ok,ok,ok
ATPPRT,atp_c + prpp_c --> ppi_c + prbatp_c,ok,ok,ok,ok,ok,ok
ATPS4rpp,adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c,ok,ok,ok,ok,ok,ok
BALAALAabcpp,atp_c + balaala_p + h2o_c --> adp_c + balaala_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
BALABALAabcpp,atp_c + balabala_p + h2o_c --> adp_c + balabala_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
BALAGLYabcpp,atp_c + balagly_p + h2o_c --> adp_c + balagly_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
BALALEUabcpp,atp_c + balaleu_p + h2o_c --> adp_c + balaleu_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
BALAMDAH,balamd_c + h2o_c --> ala_B_c + nh4_c,ok,ok,ok,ok,ok,ok
BALAt2pp,ala_B_p + h_p --> ala_B_c + h_c,ok,ok,ok,ok,ok,ok
BDH,bhb_c + nad_c <=> acac_c + h_c + nadh_c,ok,ok,ok,ok,ok,ok
BEF,betald_c + fad_c + h2o_c --> fadh2_c + glyb_c + h_c,ok,ok,ok,BETALDHx;BETALDHy,ok,ok
BETALDHx,betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c,ok,ok,ok,BEF;BETALDHy,ok,ok
BETALDHy,betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c,ok,ok,ok,BEF;BETALDHx,ok,ok
BGLApp,cellb_p + h2o_p --> 2.0 glc__D_p,ok,ok,ok,ok,ok,ok
BHBtpp,bhb_p + h_p --> bhb_c + h_c,ok,ok,ok,ok,ok,ok
BLAMDabcpp,atp_c + balamd_p + h2o_c --> adp_c + balamd_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
BPNT,h2o_c + pap_c --> amp_c + pi_c,ok,ok,ok,ok,ok,ok
BTCOARx,btcoa_c + h_c + nadh_c --> btal_c + coa_c + nad_c,ok,ok,ok,ok,ok,ok
BTS_nadph,btal_c + h_c + nadph_c --> 1btol_c + nadp_c,ok,ok,ok,BTS,ok,ok
BUP,3uib_c + h2o_c + 2.0 h_c --> 3aib_c + co2_c + nh4_c,ok,ok,ok,ok,ok,ok
BUPN,cala_c + h2o_c + 2.0 h_c --> ala_B_c + co2_c + nh4_c,UPPN,ok,ok,ok,ok,ok
BUTCT,accoa_c + but_c --> ac_c + btcoa_c,ok,ok,ok,ok,ok,ok
BUTSO3abcpp,atp_c + butso3_p + h2o_c --> adp_c + butso3_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
BZ12DOX,bz_c + h_c + nadh_c + o2_c --> bz12diol_c + nad_c,ok,ok,ok,ok,ok,ok
BZALCt2pp,bzalc_p + h_p --> bzalc_c + h_c,ok,ok,ok,ok,ok,ok
BZDIOLDH,bz12diol_c + nad_c --> catechol_c + co2_c + nadh_c,ok,ok,ok,ok,ok,ok
BZt,bz_e <=> bz_c,ok,ok,ok,ok,ok,ok
BZt1pp,bz_p + h_p --> bz_c + h_c,ok,ok,BZt2_pp,ok,ok,ok
BZt2_pp,bz_p + 2.0 h_p --> bz_c + 2.0 h_c,ok,ok,BZt1pp,ok,ok,ok
CARNabcpp,atp_c + carn_p + h2o_c --> adp_c + carn_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
CAT,2.0 h2o2_c --> 2.0 h2o_c + o2_c,ok,ok,ok,CYTBD2pp;CYTBDpp;CYTBO3_4pp;GTHPi;NADHPO;THIORDXi,ok,ok
CATDOX,catechol_c + o2_c --> ccmuac_c + 2.0 h_c,ok,ok,ok,ok,ok,ok
CATpp,2.0 h2o2_p --> 2.0 h2o_p + o2_p,ok,ok,ok,ok,ok,ok
CBMKr,atp_c + co2_c + nh4_c <=> adp_c + cbp_c + 2.0 h_c,ok,ok,ok,ok,ok,ok
CBPAH,Ncbmpts_c + 2.0 h2o_c + h_c --> hco3_c + nh4_c + ptrc_c,ok,ok,ok,ok,ok,ok
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,ok,ok,ok,ok,ok,ok
CD2abc1,atp_c + cd2_c + h2o_c --> adp_c + cd2_e + h_c + pi_c,ok,ok,ok,ok,ok,ok
CD2abcpp,atp_c + cd2_c + h2o_c --> adp_c + cd2_p + h_c + pi_c,ok,ok,ok,ok,ok,ok
CD2t3pp,cd2_c + h_p --> cd2_p + h_c,ok,ok,ok,ok,ok,ok
CD2t4pp,cd2_c + h_p + k_p --> cd2_p + h_c + k_c,ok,ok,ok,ok,ok,ok
CD2t5,cd2_c + h_p --> cd2_e + h_c,ok,ok,ok,ok,ok,ok
CD2t6,cd2_p + h_p --> cd2_e + h_c,ok,ok,ok,ok,ok,ok
CD2tex,cd2_e <=> cd2_p,ok,ok,ok,ok,ok,ok
CD2tpp,cd2_p --> cd2_c,ok,ok,ok,ok,ok,ok
CDGUNPD,cdigmp_c + h2o_c --> 5pg35pg_c + h_c,ok,ok,ok,ok,ok,ok
CDPMEK,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,ok,ok,ok,ok,ok,ok
CDPPH,cdp_c + h2o_c --> cmp_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
CDPPT160,cdpdhdecg_c + inost_c --> cmp_c + h_c + ptd1ino160_c,ok,ok,ok,ok,ok,ok
CELASEpp,cell4_p + h2o_p --> 2.0 cellb_p,ok,ok,ok,ok,ok,ok
CELLS,h2o_c + 4.0 udpg_c --> cell4_p + 4.0 h_c + 4.0 udp_c,ok,ok,ok,ok,ok,ok
CGLYabcpp,atp_c + cgly_p + h2o_c --> adp_c + cgly_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
CGLYtex,cgly_e <=> cgly_p,ok,ok,ok,ok,ok,ok
CHLP,cholp_c + h2o_c --> chol_c + pi_c,ok,ok,ok,ok,ok,ok
CHLabcpp,atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
CHLt2,chol_e + h_e --> chol_c + h_c,ok,ok,ok,ok,ok,ok
CHLt2pp,chol_p + h_p --> chol_c + h_c,ok,ok,CHLt3pp,ok,ok,ok
CHLt3pp,chol_c + h_p --> chol_p + h_c,ok,ok,CHLt2pp,ok,ok,ok
CHOLD,chol_c + nad_c --> betald_c + h_c + nadh_c,ok,ok,ok,ok,ok,ok
CHOLK,atp_c + chol_c --> adp_c + cholp_c + h_c,ok,ok,ok,ok,ok,ok
CHOLSH,chols_c + h2o_c --> chol_c + h_c + so4_c,ok,ok,ok,ok,ok,ok
CHOLSabc,atp_c + chols_p + h2o_c --> adp_c + chols_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
CHOLt4ipp,chol_p + na1_p --> chol_c + na1_c,ok,ok,ok,ok,ok,ok
CHORM,chor_c --> pphn_c,ok,ok,ok,ok,ok,ok
CHORS,3psme_c --> chor_c + pi_c,ok,ok,ok,ok,ok,ok
CHORt2,chor_e + h_e --> chor_c + h_c,ok,ok,ok,ok,ok,ok
CHRPL,chor_c --> 4hbz_c + pyr_c,ok,ok,ok,ok,ok,ok
CINNMCOAH,cinmcoa_c + h2o_c --> cinnm_c + coa_c + h_c,ok,ok,ok,ok,ok,ok
CITL,cit_c --> ac_c + oaa_c,ok,ok,ok,ok,ok,ok
CITt4pp_1,cit_p + na1_p --> cit_c + na1_c,ok,ok,ok,ok,ok,ok
CITt_kt,cit_p + h_p --> cit_c + h_c,ok,ok,ok,ok,ok,ok
CLPNH120pp,clpn120_p + h2o_p --> h_p + pa120_p + pg120_p,ok,ok,ok,ok,ok,ok
CLPNH140pp,clpn140_p + h2o_p --> h_p + pa140_p + pg140_p,ok,ok,ok,ok,ok,ok
CLPNH141pp,clpn141_p + h2o_p --> h_p + pa141_p + pg141_p,ok,ok,ok,ok,ok,ok
CLPNH160pp,clpn160_p + h2o_p --> h_p + pa160_p + pg160_p,ok,ok,ok,ok,ok,ok
CLPNH161pp,clpn161_p + h2o_p --> h_p + pa161_p + pg161_p,ok,ok,ok,ok,ok,ok
CLPNH180pp,clpn180_p + h2o_p --> h_p + pa180_p + pg180_p,ok,ok,ok,ok,ok,ok
CLPNH181pp,clpn181_p + h2o_p --> h_p + pa181_p + pg181_p,ok,ok,ok,ok,ok,ok
CMCBTFL,cmcbtt_c + fe3_e --> fcmcbtt_c,ok,ok,ok,ok,ok,ok
CMCBTFU,fcmcbtt_c --> cmcbtt_c + fe3_c,ok,ok,ok,ok,ok,ok
CMCMSAD,5cmhmsa_c + h2o_c + nad_c --> 5cmhm_c + 2.0 h_c + nadh_c,ok,ok,ok,ok,ok,ok
CMHMI,5cmhm_c --> 5cohe_c,ok,ok,ok,ok,ok,ok
CMLDC,4cml_c + h_c --> 5odhf2a_c + co2_c,4CMLCL_kt,ok,ok,ok,ok,ok
CMt2ex,cm_c + h_p --> cm_e + h_c,ok,ok,ok,ok,ok,ok
CMt2ppi,cm_p --> cm_c,ok,ok,ok,ok,ok,ok
CMtpp,cm_p + h_p --> cm_e + h_c,ok,ok,ok,ok,ok,ok
CO2t,co2_e <=> co2_c,ok,ok,ok,ok,ok,ok
CO2tex,co2_e <=> co2_p,ok,ok,ok,ok,ok,ok
CO2tpp,co2_p <=> co2_c,ok,ok,ok,ok,ok,ok
COALCDH,confrl_c + nad_c --> conialdh_c + h_c + nadh_c,ok,ok,ok,ok,ok,ok
COALDDH,conialdh_c + h2o_c + nad_c --> fer_c + 2.0 h_c + nadh_c,ok,ok,ok,ok,ok,ok
COBALT2abcpp,atp_c + cobalt2_c + h2o_c --> adp_c + cobalt2_p + h_c + pi_c,ok,ok,ok,ok,ok,ok
COBALT2t3pp,cobalt2_c + h_p --> cobalt2_p + h_c,ok,ok,ok,ok,ok,ok
COBALT2tex,cobalt2_e <=> cobalt2_p,ok,ok,ok,ok,ok,ok
COBALT2tpp,cobalt2_p --> cobalt2_c,ok,ok,ok,ok,ok,ok
COBALTt4pp,cobalt2_c + h_p + k_p --> cobalt2_p + h_c + k_c,ok,ok,ok,ok,ok,ok
COBALTt5,cobalt2_c <=> cobalt2_e,ok,ok,ok,ok,ok,ok
COabc,atp_c + cobalt2_e + h2o_c --> adp_c + cobalt2_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
CPPPGO,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,ok,ok,ok,ok,ok,ok
CREAT,creat_c + h2o_c --> sarcs_c + urea_c,ok,ok,ok,ok,ok,ok
CREATtpp,creat_p + h_p --> creat_c + h_c,ok,ok,ok,ok,ok,ok
CRNDH,crn_c + nad_c --> dhcrn_c + h_c + nadh_c,ok,ok,ok,ok,ok,ok
CRNDabcpp,atp_c + crn__D_p + h2o_c --> adp_c + crn__D_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
CRNDt2rpp,crn__D_p + h_p --> crn__D_c + h_c,ok,ok,ok,ok,ok,ok
CRNabcpp,atp_c + crn_p + h2o_c --> adp_c + crn_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
CRNt2rpp,crn_p + h_p --> crn_c + h_c,ok,ok,ok,ok,ok,ok
CRNt8pp,crn__D_c + crn_p --> crn__D_p + crn_c,ok,ok,ok,ok,ok,ok
CRO4abcpp,atp_c + cro4_p + h2o_c --> adp_c + cro4_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
CRO4t3,cro4_c + h_e --> cro4_e + h_c,ok,ok,ok,ok,ok,ok
CS,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,ok,ok,ok,ok,ok,ok
CSND,csn_c + h2o_c + h_c --> nh4_c + ura_c,ok,ok,ok,ok,ok,ok
CSNt2,csn_e + h_e --> csn_c + h_c,ok,ok,ok,ok,ok,ok
CSNt2pp,csn_p + h_p --> csn_c + h_c,ok,ok,ok,ok,ok,ok
CSPMDDC,cspmd_c + h_c --> co2_c + spmd_c,ok,ok,ok,ok,ok,ok
CSPMDDH,aspsa_c + h_c + nadph_c + ptrc_c --> cspmd_c + h2o_c + nadp_c,ok,ok,ok,ok,ok,ok
CTBTabcpp,atp_c + ctbt_p + h2o_c --> adp_c + ctbt_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
CTECOAI6,tdecoa_c <=> td2coa_c,ok,ok,ok,ok,ok,ok
CTECOAI7,hdcoa_c <=> hdd2coa_c,ok,ok,ok,ok,ok,ok
CTECOAI8,odecoa_c <=> od2coa_c,ok,ok,ok,ok,ok,ok
CTPS1,atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c,ok,ok,ok,ok,ok,ok
CTPS2,atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c,ok,ok,ok,ok,ok,ok
CU1Opp,4.0 cu_p + 4.0 h_p + o2_p --> 4.0 cu2_p + 2.0 h2o_p,ok,ok,ok,ok,ok,ok
CU2abcpp,atp_c + cu2_c + h2o_c --> adp_c + cu2_p + h_c + pi_c,ok,ok,CUabcpp,ok,ok,ok
CU2t4pp,cu2_c + h_p + k_p --> cu2_p + h_c + k_c,ok,ok,ok,ok,ok,ok
CU2tex,cu2_e <=> cu2_p,ok,ok,ok,ok,ok,ok
CU2tonex,cu2_e + h_p --> cu2_p + h_c,ok,ok,ok,ok,ok,ok
CU2tpp,cu2_p --> cu2_c,ok,ok,ok,ok,ok,ok
CUabcpp,atp_c + cu2_p + h2o_c --> adp_c + cu2_c + h_c + pi_c,ok,ok,CU2abcpp,ok,ok,ok
CYANST,cyan_c + tsul_c --> h_c + so3_c + tcynt_c,ok,ok,ok,ok,ok,ok
CYANSTpp,cyan_p + tsul_p --> h_p + so3_p + tcynt_p,ok,ok,ok,ok,ok,ok
CYANt2pp,cyan_p + h_p --> cyan_c + h_c,ok,ok,ok,ok,ok,ok
CYO1_KT,2.0 ficytc_c + 2.0 h_c + q8h2_c --> 2.0 focytc_c + 2.0 h_p + q8_c,ok,ok,ok,ok,ok,ok
CYSDDS,cys__D_c + h2o_c --> h2s_c + nh4_c + pyr_c,ok,ok,ok,ok,ok,ok
CYSLY3,cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c,ok,ok,ok,ok,ok,ok
CYSS,acser_c + h2s_c --> ac_c + cys__L_c + h_c,ok,ok,ok,ok,ok,ok
CYSTGL,cyst__L_c + h2o_c --> 2obut_c + cys__L_c + nh4_c,ok,ok,ok,ok,ok,ok
CYSabc,atp_c + cys__L_e + h2o_c --> adp_c + cys__L_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
CYSabc2pp,atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c,ok,ok,CYSabcpp,ok,ok,ok
CYSabcpp,atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c,ok,ok,CYSabc2pp,ok,ok,ok
CYSt2r,cys__L_e + h_e --> cys__L_c + h_c,ok,ok,ok,ok,ok,ok
CYStpp,cys__L_c --> cys__L_p,ok,ok,ok,ok,ok,ok
CYTBD2pp,2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_p + mqn8_c,ok,ok,ok,CAT;CYTBDpp;CYTBO3_4pp;GTHPi;NADHPO;THIORDXi,ok,ok
CYTBDpp,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_p + q8_c,ok,ok,CYTBO3_4pp,CAT;CYTBD2pp;GTHPi;NADHPO;THIORDXi,ok,ok
CYTBO3_4pp,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,ok,ok,CYTBDpp,CAT;CYTBD2pp;GTHPi;NADHPO;THIORDXi,ok,ok
CYTCAA3pp,2.0 focytc_c + 2.0 h_c + 0.5 o2_c --> 2.0 ficytc_c + h2o_c + 2.0 h_p,ok,ok,CYTCBB3pp,ok,ok,ok
CYTCBB3pp,2.0 focytc_c + h_c + 0.5 o2_c --> 2.0 ficytc_c + h2o_c + h_p,ok,ok,CYTCAA3pp,ok,ok,ok
CYTDH,cytd_c + h2o_c --> csn_c + rib__D_c,ok,ok,ok,ok,ok,ok
CYTK1,atp_c + cmp_c <=> adp_c + cdp_c,ok,ok,ok,ok,ok,ok
CYTK2,atp_c + dcmp_c <=> adp_c + dcdp_c,ok,ok,ok,ok,ok,ok
CYTOM,amet_c + csn_c <=> 5mcsn_c + ahcys_c + h_c,ok,ok,ok,ok,ok,ok
Cuabc,atp_c + cu2_e + h2o_c --> adp_c + cu2_c + h_c + pi_c,ok,ok,Cut1,ok,ok,ok
Cut1,atp_c + cu2_c + h2o_c --> adp_c + cu2_e + h_c + pi_c,ok,ok,Cuabc,ok,ok,ok
DAAD,ala__D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c,ok,ok,ok,ok,ok,ok
DAAD12,fad_c + h2o_c + val__D_c --> 3mob_c + fadh2_c + nh4_c,ok,ok,ok,ok,ok,ok
DAAD2,arg__D_c + fad_c + h2o_c --> 5g2oxpt_c + fadh2_c + nh4_c,ok,ok,ok,ok,ok,ok
DAAD4,fad_c + h2o_c + met__D_c --> 2kmb_c + fadh2_c + nh4_c,ok,ok,ok,ok,ok,ok
DAAD5,fad_c + h2o_c + orn__D_c --> 5a2opntn_c + fadh2_c + nh4_c,ok,ok,ok,ok,ok,ok
DAAD7,fad_c + pro__D_c --> 1p2cbxl_c + fadh2_c + h_c,ok,ok,ok,ok,ok,ok
DAAD8,fad_c + h2o_c + ser__D_c --> fadh2_c + hpyr_c + nh4_c,ok,ok,ok,ok,ok,ok
DADA,dad_2_c + h2o_c + h_c --> din_c + nh4_c,ok,ok,ok,ok,ok,ok
DADK,atp_c + damp_c <=> adp_c + dadp_c,ok,ok,ok,ok,ok,ok
DADNK,atp_c + dad_2_c --> adp_c + damp_c + h_c,ok,ok,ok,ok,ok,ok
DADNt2,dad_2_e + h_e --> dad_2_c + h_c,ok,ok,ok,ok,ok,ok
DAGK120,12dgr120_c + atp_c --> adp_c + h_c + pa120_c,ok,ok,ok,ok,ok,ok
DAGK140,12dgr140_c + atp_c --> adp_c + h_c + pa140_c,ok,ok,ok,ok,ok,ok
DAGK141,12dgr141_c + atp_c --> adp_c + h_c + pa141_c,ok,ok,ok,ok,ok,ok
DAGK160,12dgr160_c + atp_c --> adp_c + h_c + pa160_c,ok,ok,ok,ok,ok,ok
DAGK161,12dgr161_c + atp_c --> adp_c + h_c + pa161_c,ok,ok,ok,ok,ok,ok
DAGK180,12dgr180_c + atp_c --> adp_c + h_c + pa180_c,ok,ok,ok,ok,ok,ok
DAGK181,12dgr181_c + atp_c --> adp_c + h_c + pa181_c,ok,ok,ok,ok,ok,ok
DAGLIPA160ex,12dgr160_e + h2o_e --> 1ag160_e + h_e + hdca_e,ok,ok,ok,ok,ok,ok
DAGLIPA180ex,12dgr180_e + h2o_e --> 1ag180_e + h_e + ocdca_e,ok,ok,ok,ok,ok,ok
DAGLIPA181d9ex,dag181d9_e + h2o_e --> 1ag181d9_e + h_e + ocdcea_e,ok,ok,ok,ok,ok,ok
DAGLIPA182d9d12ex,dag182d9d12_e + h2o_e --> 1ag182d9d12_e + h_e + lnlc_e,ok,ok,ok,ok,ok,ok
DALAALAD,balaala_c + h2o_c --> ala__D_c + ala__L_c,ok,ok,ok,ok,ok,ok
DALADALAD,balabala_c + h2o_c --> 2.0 ala__D_c,ok,ok,ok,ok,ok,ok
DALAGLYD,balagly_c + h2o_c --> ala__D_c + gly_c,ok,ok,ok,ok,ok,ok
DALALEUD,balaleu_c + h2o_c --> ala__D_c + leu__L_c,ok,ok,ok,ok,ok,ok
DALAabcpp,ala__D_p + atp_c + h2o_c --> adp_c + ala__D_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
DALAt2pp,ala__D_p + h_p --> ala__D_c + h_c,ok,ok,ok,ok,ok,ok
DAPDC,26dap__M_c + h_c --> co2_c + lys__L_c,ok,ok,ok,ok,ok,ok
DARBabcpp,arab__D_p + atp_c + h2o_c --> adp_c + arab__D_c + h_c + pi_c,ok,ok,ok,ok,ok,ok
DARBt3ipp,arab__D_c + h_p --> arab__D_p + h_c,ok,ok,ok,ok,ok,ok
DASYN120,ctp_c + h_c + pa120_c --> cdpdddecg_c + ppi_c,ok,ok,ok,ok,ok,ok
DASYN140,ctp_c + h_c + pa140_c --> cdpdtdecg_c + ppi_c,ok,ok,ok,ok,ok,ok
DASYN141,ctp_c + h_c + pa141_c --> cdpdtdec7eg_c + ppi_c,ok,ok,ok,ok,ok,ok
