reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,loop_test,dead_end_test,dilution_test,pathway,,,,,
EX_malt_e,malt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_malthp_e,malthp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_malthx_e,malthx_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_malttr_e,malttr_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_maltttr_e,maltttr_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_man_e,man_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_melib_e,melib_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_meoh_e,meoh_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_met_L_ala__L_e,met_L_ala__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_met__D_e,met__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_met__L_e,met__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_metox__R_e,metox__R_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,metox__R_e,1,,,,,
EX_metox_e,metox_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,metox_e,1,,,,,
EX_mg2_e,mg2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_mn2_e,mn2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_mnl_e,mnl_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_mobd_e,mobd_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_mso3_e,mso3_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_n2o_e,n2o_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_na1_e,na1_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,always blocked,0,,,,,
EX_nh4_e,nh4_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_ni2_e,ni2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,always blocked,0,,,,,
EX_nmn_e,nmn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_no2_e,no2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_no3_e,no3_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
EX_no_e,no_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,,,
