reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,loop_test,dead_end_test,dilution_test,pathway,,,
ACOAD5f,ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD6,nad_c + tdcoa_c <=> h_c + nadh_c + td2coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD6f,fad_c + tdcoa_c <=> fadh2_c + td2coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD7,nad_c + pmtcoa_c <=> h_c + hdd2coa_c + nadh_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD7f,fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOAD8f,fad_c + stcoa_c <=> fadh2_c + od2coa_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACOADH2,2.0 ibcoa_c + o2_c --> 2.0 2mp2coa_c + 2.0 h2o_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACODA,acorn_c + h2o_c --> ac_c + orn_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACONT,cit_c <=> icit_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACONTa,cit_c <=> acon_C_c + h2o_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACONTb,acon_C_c + h2o_c <=> icit_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACOTA,acorn_c + akg_c <=> acg5sa_c + glu__L_c,ok,ok,ok,N/A,N/A,ok,only when going forwards,ok,0,,,
ACP1_FMN,fmn_c + h2o_c --> pi_c + ribflv_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACPPAT140,h_c + myrsACP_c + pi_c --> ACP_c + ttdcap_c,ok,ok,ok,N/A,N/A,ok,ok,myrsACP_c,ACP_c,ttdcap_c,1,
ACPPAT160,h_c + palmACP_c + pi_c --> ACP_c + hdcap_c,ok,ok,ok,N/A,N/A,ok,ok,palmACP_c,ACP_c,hdcap_c,1,
ACPPAT181,h_c + octeACP_c + pi_c --> ACP_c + ocdceap_c,ok,ok,ok,N/A,N/A,ok,ok,octeACP_c,ACP_c,ocdceap_c,1,
ACPpds,ACP_c + h2o_c --> apoACP_c + 2.0 h_c + pan4p_c,ok,ok,ok,N/A,N/A,ok,ok,ACP_c,apoACP_c,1,,
ACPS,coa_c + h2o_c --> 2.0 h_c + pan4p_c + pap_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACPS1_1,apoACP_c + coa_c --> ACP_c + pap_c,ok,ok,ok,N/A,N/A,ok,ok,apoACP_c,ACP_c,1,,
ACS,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
ACSERHS,acser_c + trdrd_c + tsul_c --> ac_c + cys__L_c + h_c + so3_c + trdox_c,AHSERL4,ok,ok,N/A,N/A,ok,ok,trdrd_c,trdox_c,5,,
ACSERL,acser_c + seln_c --> ac_c + selcys_c,ok,ok,ok,N/A,N/A,ok,ok,seln_c,selcys_c,44,,
ACSPHAC100,R_3hdcaa_c + atp_c + coa_c --> R_3hdcoa_c + amp_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,R_3hdcaa_c,R_3hdcoa_c,25,,
ACSPHAC101,R3hdec4e_c + atp_c + coa_c --> R3hdec4coa_c + amp_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,R3hdec4e_c,R3hdec4coa_c,35,,
ACSPHAC120,R_3hdda_c + atp_c + coa_c --> R_3hddcoa_c + amp_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACSPHAC121,R_3hdd5ea_c + atp_c + coa_c --> R_3hcddec5ecoa_c + amp_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,R_3hdd5ea_c,R_3hcddec5ecoa_c,14,,
ACSPHAC121d6,R_3hdd6e_c + atp_c + coa_c --> R_3hdd6coa_c + amp_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACSPHAC140,R_3httdca_c + atp_c + coa_c --> R_3hmrscoa_c + amp_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
ACSPHAC141,R_3hcmrs7e_c + atp_c + coa_c --> R_3hcmrs7ecoa_c + amp_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,R_3hcmrs7e_c,R_3hcmrs7ecoa_c,40,,
ACSPHAC141d5,R_3htd5e_c + atp_c + coa_c --> R_3htd5coa_c + amp_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,R_3htd5e_c,R_3htd5coa_c,24,,
ACSPHAC142,R_3htd58e_c + atp_c + coa_c --> R_3htd58coa_c + amp_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
